score,budget_x,country
46.0,96300000.0,US
74.0,200000000.0,AU
59.0,263000000.0,AU
73.0,43000000.0,AU
73.0,139000000.0,AU
71.0,105200000.0,AU
66.0,131600000.0,US
56.0,80300000.0,AU
58.0,45000000.0,AU
73.0,53600000.0,US
85.0,20000000.0,AU
60.0,2620000.0,FI
60.0,4000000.0,AU
62.0,50000000.0,AU
68.0,167100000.0,JP
64.0,27000000.0,AU
69.0,91940000.0,AU
82.0,65000000.0,AU
60.0,60600000.0,HK
69.0,76000000.0,AU
70.0,116500000.0,US
61.0,155000000.0,AU
73.0,30000000.0,AU
66.0,3000000.0,US
78.0,101700000.0,US
20.0,12001040.0,CO
69.0,195000000.0,AU
69.0,80000000.0,AU
60.0,84000000.0,AU
67.0,215000000.0,AU
70.0,104000000.0,AU
77.0,80000000.0,US
72.0,131000000.0,FR
74.0,148000000.0,US
68.0,12000000.0,AU
69.0,50000000.0,AU
74.0,145000000.0,AU
75.0,30000000.0,AU
70.0,88200000.0,AU
74.0,5387948.0,AU
69.0,75000000.0,AU
62.0,110000000.0,AU
63.0,90000000.0,AU
53.0,104050080.0,US
71.0,180000000.0,AU
73.0,375000.0,AU
61.0,85000000.0,AU
75.0,200000000.0,AU
69.0,52000050.0,TW
68.0,95000000.0,AU
68.0,2900000.0,AU
73.0,165000000.0,AU
72.0,55000000.0,AU
80.0,100000000.0,AU
52.0,7060000.0,US
67.0,84800000.0,CN
74.0,153000000.0,US
62.0,147000000.0,IT
62.0,103000000.0,AU
67.0,69400000.0,AU
67.0,75000000.0,AU
83.0,13000000.0,AU
79.0,135000000.0,US
68.0,40000000.0,AU
67.0,59080000.0,JP
65.0,35000.0,US
35.0,47270000.0,JP
69.0,45000000.0,AU
72.0,10000000.0,AU
66.0,170000000.0,AU
73.0,1545000.0,JP
75.0,1600000.0,JP
62.0,178000000.0,AU
73.0,2037792.0,US
57.0,117000000.0,AU
58.0,102000000.0,AU
58.0,102800000.0,AU
61.0,217000000.0,AU
56.0,141600000.0,US
85.0,11363000.0,AU
65.0,200000000.0,AU
69.0,125000000.0,AU
71.0,24812400.0,JP
72.0,73800000.0,AU
71.0,106200000.0,AU
72.0,97600000.0,US
76.0,44304333.2,JP
74.0,78600000.0,JP
59.0,164900000.0,FR
81.0,180000000.0,AU
83.0,109200000.0,MX
75.0,515001.4,AU
76.0,250000000.0,AU
58.0,12000000.0,AU
77.0,35000000.0,AU
69.0,3000000.0,US
69.0,6000000.0,US
74.0,17000000.0,AU
75.0,80000000.0,AU
78.0,1000000.0,AU
60.0,146740000.0,RU
68.0,59960000.0,AU
75.0,98800000.0,US
68.0,85800000.0,AR
78.0,89000000.0,PR
69.0,140700000.0,AU
70.0,72500000.0,AU
63.0,98000000.0,AU
77.0,85000000.0,AU
71.0,40000000.0,GB
60.0,12000000.0,AU
59.0,3749231.0,FR
71.0,5037000.0,US
70.0,35000000.0,AU
72.0,121000000.0,AU
62.0,48000000.0,AU
70.0,120000000.0,AU
73.0,185000000.0,AU
72.0,90000000.0,AU
76.0,150000000.0,AU
36.0,47270000.0,US
0.0,200000000.0,US
64.0,92600000.0,ES
67.0,59844080.0,JP
60.0,62800000.0,TH
73.0,250000.0,AU
0.0,246000000.0,US
63.0,184000000.0,JP
57.0,19000000.0,AU
56.0,125600000.0,US
84.0,65000000.0,AU
75.0,100000000.0,AU
75.0,70000000.0,AU
63.0,87000000.0,ID
58.0,26000000.0,AU
54.0,76000000.0,DE
60.0,127200000.0,US
61.0,300000000.0,AU
72.0,7000000.0,AU
80.0,30511197.0,AU
76.0,150000000.0,AU
77.0,145000000.0,AU
54.0,96400000.0,DK
72.0,69000000.0,AU
66.0,83800000.0,US
62.0,3000000.0,FR
67.0,108200000.0,AU
72.0,175000000.0,AU
71.0,40000000.0,AU
64.0,120000000.0,AU
68.0,17700000.0,AU
60.0,10000000.0,AU
66.0,200000000.0,AU
66.0,3000000.0,AU
62.0,80200000.0,GB
77.0,138000000.0,JP
73.0,46000000.0,AU
82.0,175200000.0,US
65.0,50000000.0,AU
69.0,101400000.0,MX
68.0,110000000.0,AU
78.0,165000000.0,AU
60.0,40000000.0,AU
75.0,18000000.0,AU
71.0,61095923.8,US
66.0,90800000.0,FR
77.0,41677699.0,AU
66.0,88000000.0,AU
0.0,264940000.0,JP
69.0,27104689.8,JP
65.0,111800000.0,AU
67.0,64200000.0,MX
70.0,160000000.0,AU
70.0,20000000.0,AU
64.0,75600000.0,US
63.0,162940000.0,JP
64.0,30000000.0,US
73.0,10000000.0,US
58.0,54200000.0,US
59.0,94800000.0,US
66.0,121000000.0,US
82.0,103000000.0,AU
74.0,124000000.0,US
65.0,40000000.0,AU
65.0,8000000.0,AU
60.0,50000000.0,AU
78.0,230000000.0,AU
71.0,152000000.0,JP
63.0,87000000.0,AU
63.0,117363.2,AU
66.0,36777824.0,FR
63.0,95000000.0,AU
52.0,20000000.0,US
74.0,35000000.0,AU
82.0,182000000.0,JP
57.0,90000000.0,AU
80.0,27610000.0,AU
78.0,24000000.0,AU
72.0,27000000.0,AU
79.0,117460000.0,KR
67.0,80000000.0,AU
78.0,115091333.2,AU
62.0,38504400.0,HK
69.0,150000000.0,AU
79.0,30000000.0,AU
82.0,157000000.0,US
72.0,17500000.0,AU
64.0,18000000.0,AU
80.0,128600000.0,AU
71.0,75000000.0,AU
71.0,84000.0,AU
69.0,140000000.0,AU
77.0,47065698.6,KR
68.0,68800000.0,GB
60.0,150000000.0,AU
74.0,128400000.0,US
71.0,182000000.0,AU
71.0,28000000.0,AU
73.0,175000000.0,AU
73.0,27000000.0,AU
84.0,2937023.8,AU
64.0,5000000.0,US
77.0,92000000.0,AU
69.0,35000000.0,AU
63.0,5000000.0,AU
78.0,127000000.0,AU
46.0,89200000.0,BR
63.0,20000000.0,US
81.0,100000000.0,AU
56.0,10000000.0,AU
0.0,203000000.0,US
82.0,3500000.0,AU
80.0,21363393.0,AU
64.0,258000000.0,AU
66.0,60000000.0,AU
57.0,50000000.0,AU
44.0,133300000.0,HK
66.0,30000000.0,AU
66.0,24000000.0,AU
71.0,67800000.0,US
64.0,40000000.0,AU
67.0,90000000.0,AU
70.0,30000000.0,AU
75.0,185000000.0,AU
78.0,29211149.2,MX
81.0,18300000.0,AU
71.0,169000000.0,US
73.0,180000000.0,AU
80.0,102200000.0,US
63.0,10000000.0,AU
70.0,10000000.0,US
77.0,1000000.0,AU
53.0,116600000.0,AU
66.0,37617129.0,JP
58.0,150000000.0,AR
63.0,90000000.0,ES
69.0,148200000.0,CN
67.0,12000000.0,US
67.0,81000000.0,AU
100.0,201000000.0,KR
72.0,141800000.0,AU
54.0,3000000.0,US
65.0,132000000.0,AU
74.0,92800000.0,US
79.0,43602530.2,AU
82.0,65000000.0,AU
65.0,130000000.0,AU
66.0,160800000.0,US
73.0,245000000.0,AU
62.0,55000000.0,AU
75.0,5721523.8,AU
69.0,147000000.0,RU
77.0,135060000.0,JP
69.0,129000000.0,US
74.0,92800000.0,FR
53.0,7000000.0,US
75.0,79400000.0,KR
63.0,81800000.0,AU
72.0,70400000.0,AU
79.0,66100000.0,MX
57.0,67500000.0,AU
65.0,38360000.0,AU
67.0,125000000.0,AU
73.0,95800000.0,FR
60.0,20000000.0,AU
61.0,4000000.0,US
73.0,9000000.0,AU
63.0,6500000.0,AU
62.0,40000000.0,AU
56.0,130200000.0,US
70.0,75397939.2,AU
85.0,8000000.0,AU
60.0,102600000.0,US
64.0,90544000.0,AU
64.0,102000000.0,PL
63.0,50000000.0,AU
71.0,25874800.0,US
68.0,49000000.0,AU
76.0,500000.0,US
70.0,44620000.0,AU
66.0,66240000.0,KR
60.0,73800000.0,HK
65.0,20000000.0,US
58.0,2500000.0,US
82.0,70000000.0,AU
51.0,95200000.0,JP
45.0,116500000.0,US
82.0,80000000.0,AU
73.0,71400000.0,AU
74.0,1500000.0,US
72.0,35000000.0,AU
69.0,4500000.0,AU
75.0,85800000.0,JP
63.0,263700000.0,AU
63.0,31000000.0,AU
70.0,858000.0,AU
84.0,3300000.0,AU
0.0,189600000.0,IN
61.0,5000000.0,US
66.0,225000000.0,AU
61.0,114600000.0,US
74.0,133000000.0,JP
69.0,135000000.0,AU
73.0,25000000.0,AU
72.0,60000000.0,AU
68.0,103800000.0,ES
54.0,500000.0,US
75.0,200000000.0,AU
83.0,19000000.0,AU
64.0,275000000.0,AU
60.0,140000000.0,JP
59.0,85600000.0,FR
64.0,131000000.0,KR
70.0,100140523.8,GB
79.0,40000000.0,AU
63.0,150000000.0,AU
67.0,170000000.0,AU
66.0,20000000.0,AU
82.0,18300000.0,AU
68.0,13000000.0,AU
71.0,104000000.0,AU
65.0,38440000.0,JP
66.0,47500000.0,AU
76.0,2777000.0,AU
61.0,105000000.0,AU
71.0,55000000.0,US
71.0,2000000.0,US
64.0,51400000.0,TR
60.0,114200000.0,US
71.0,42000000.0,AU
61.0,25000000.0,AU
58.0,175000000.0,AU
73.0,93000000.0,AU
76.0,153000000.0,IE
70.0,75000000.0,AU
71.0,31000000.0,AU
65.0,127500000.0,AU
47.0,150000000.0,AU
68.0,56600000.0,IT
78.0,3000000.0,US
0.0,86000000.0,FR
57.0,3000000.0,US
74.0,119740000.0,AU
60.0,89940000.0,AU
75.0,116600000.0,US
67.0,61000000.0,AU
72.0,4000000.0,AU
65.0,36820000.0,JP
67.0,28301500.0,JP
65.0,118400000.0,US
81.0,10700000.0,AU
60.0,158400000.0,ZA
72.0,55600000.0,AU
66.0,45860000.0,BE
66.0,12000000.0,AU
64.0,35000.0,US
72.0,59200000.0,US
74.0,902001.4,IT
63.0,26790000.0,CN
72.0,3720000.0,KR
71.0,60000000.0,AU
74.0,54000000.0,AU
60.0,45000000.0,AU
81.0,67980000.0,US
69.0,65000000.0,AU
66.0,225000000.0,AU
64.0,10000000.0,AU
65.0,37595000.0,US
64.0,43590000.0,AU
68.0,135000000.0,AU
57.0,6500000.0,US
62.0,66890000.0,US
53.0,95000000.0,US
68.0,57404639.8,AU
65.0,150000000.0,AU
73.0,53000000.0,AU
69.0,90000000.0,US
44.0,139800000.0,GB
64.0,50000000.0,AU
55.0,40000000.0,AU
86.0,13000000.0,AU
72.0,205000000.0,AU
69.0,175000000.0,AU
71.0,45000000.0,AU
71.0,13200000.0,AU
71.0,2289247.0,AU
68.0,54200004.0,CA
58.0,52857000.0,US
75.0,45223.0,US
74.0,25000000.0,AU
62.0,89600000.0,AU
81.0,110100000.0,JP
58.0,157600000.0,US
74.0,8000000.0,AU
55.0,120000000.0,AU
70.0,59500000.0,AU
